,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,career_year,career_start_age,ability,ability2,income_unit,OK,Bravo
29,29,0,0,1,0,121500,0,4,1,0,12017,1711,0,1,0,Sales staff,2,22,0,32,5,27,8.850524476,71.01110462,60750,00101215000410120171711010Sales staff2032527,0
30,30,0,1,0,0,225000,0,4,1,1,13188,227,0,0,0,Managers,2,33,2,36,1,35,16.77226985,991.1894273,112500,0100225000041113188227000Managers2236135,0
31,31,0,1,1,0,135000,0,1,1,1,11762,3452,1,0,1,Laborers,2,18,0,32,10,22,8.873406073,39.10776362,67500,01101350000111117623452101Laborers20321022,0
32,32,0,0,1,0,135000,4,1,1,1,13299,1628,0,0,0,Laborers,2,2,0,36,5,31,9.044014202,82.92383292,67500,00101350004111132991628000Laborers2036531,0
33,33,0,0,1,0,202500,4,4,1,1,19200,346,0,1,0,High skill tech staff,2,30,2,52,1,51,10.360176,585.2601156,101250,0010202500441119200346010High skill tech staff2252151,0
34,34,0,1,1,1,270000,4,4,1,1,14488,1630,0,1,0,Laborers,3,22,0,39,5,34,16.751458,165.6441718,90000,01112700004411144881630010Laborers3039534,0
35,35,0,1,0,0,225000,4,1,0,1,14438,2433,0,0,0,Managers,2,20,2,39,7,32,13.33649458,92.4784217,112500,01002250004101144382433000Managers2239732,0
36,36,0,1,0,0,225000,4,1,3,1,20200,1022,1,1,0,Accountants,1,14,2,55,3,52,10.60220526,220.1565558,225000,01002250004131202001022110Accountants1255352,0
37,37,0,1,1,0,585000,0,4,1,5,16653,1646,0,0,0,Drivers,2,8,2,45,5,40,31.96896005,355.4070474,292500,01105850000415166531646000Drivers2245540,0
38,38,0,0,1,0,202500,4,4,1,1,13582,3472,0,0,0,Sales staff,2,41,2,37,10,27,11.87404714,58.32373272,101250,00102025004411135823472000Sales staff22371027,0
39,39,0,1,1,2,112500,4,4,1,1,13022,1600,0,0,0,Laborers,4,39,2,35,5,30,7.693885925,70.3125,28125,01121125004411130221600000Laborers4235530,0
40,40,0,1,1,0,90900,4,4,1,1,21700,2426,0,0,0,Laborers,2,21,1,59,7,52,3.767719473,37.46908491,45450,0110909004411217002426000Laborers2159752,0
41,41,0,0,1,2,99000,0,1,1,1,12752,433,0,1,0,Accountants,4,19,2,34,2,32,7.508532423,228.6374134,24750,001299000011112752433010Accountants4234232,0
42,42,0,0,0,1,270000,4,4,1,1,9943,554,1,0,0,Managers,3,35,0,27,2,25,25.72163475,487.3646209,90000,000127000044119943554100Managers3027225,0
43,43,0,0,0,0,67500,4,4,1,1,9963,1876,0,0,0,Sales staff,2,8,1,27,6,21,5.701495059,35.98081023,33750,000067500441199631876000Sales staff2127621,0
44,44,0,0,0,0,247500,4,1,0,1,15125,199,0,0,0,Drivers,2,26,2,41,1,40,16.15113547,1243.718593,123750,0000247500410115125199000Drivers2241140,0
45,45,0,1,0,0,405000,4,1,1,1,18655,3200,1,1,0,High skill tech staff,2,4,0,51,9,42,18.53122855,126.5625,202500,01004050004111186553200110High skill tech staff2051942,0
46,46,1,0,0,0,135000,1,4,4,1,21100,365243,0,1,0,,1,24,2,57,1001,-944,0.349430428,0.36961694,135000,100013500014412110036524301012571001-944,0
47,47,0,1,1,0,292500,0,1,1,1,18409,3482,0,0,0,Sales staff,2,48,2,50,10,40,13.36165547,84.0034463,146250,01102925000111184093482000Sales staff22501040,0
48,48,0,0,1,0,99000,1,4,1,1,23585,365243,0,0,0,,2,4,2,64,1001,-937,0.254611293,0.271052423,49500,00109900014112358536524300022641001-937,0
49,49,0,0,1,0,585000,0,4,1,1,18858,2010,0,1,0,,2,12,2,51,6,45,28.0333525,291.0447761,292500,001058500004111885820100102251645,0
50,50,0,1,0,1,90000,4,4,1,1,13951,1101,1,0,0,Sales staff,3,4,2,38,4,34,5.979271858,81.74386921,30000,0101900004411139511101100Sales staff3238434,0
51,51,0,1,1,0,495000,4,2,1,5,8917,1101,0,0,1,Drivers,2,10,2,24,4,20,49.41106009,449.5912807,247500,0110495000421589171101001Drivers2224420,0
52,52,0,0,1,0,54000,1,4,1,1,24044,365243,0,1,0,,2,37,2,65,1001,-936,0.138715138,0.147846776,27000,00105400014112404436524301022651001-936,0
53,53,0,1,1,2,306000,2,1,1,1,13541,3965,0,0,0,Core staff,4,42,2,37,11,26,17.47972124,77.17528373,76500,01123060002111135413965000Core staff42371126,0
54,54,0,0,0,1,99000,4,4,1,1,15626,422,0,0,0,,3,2,1,42,2,40,6.168993021,234.5971564,33000,0001990004411156264220003142240,0
55,55,0,0,1,0,180000,4,4,1,1,13856,3010,0,0,0,Laborers,2,24,2,37,9,28,10.67235859,59.80066445,90000,00101800004411138563010000Laborers2237928,0
56,56,0,1,1,0,130500,4,4,1,1,16137,9391,0,1,0,Laborers,2,29,2,44,26,18,5.112033845,13.89628368,65250,01101305004411161379391010Laborers22442618,0
57,57,0,0,1,0,225000,0,1,3,1,17031,642,0,0,0,Core staff,1,3,1,46,2,44,12.73128501,350.4672897,225000,0010225000013117031642000Core staff1146244,0
58,58,0,0,1,0,144000,1,4,1,1,23334,365243,0,0,0,,2,23,2,63,1001,-938,0.370582922,0.394258069,72000,001014400014112333436524300022631001-938,0
59,59,0,0,1,0,360000,1,1,1,1,22985,365243,0,1,0,,2,25,2,62,1001,-939,0.927290149,0.985645173,180000,001036000011112298536524301022621001-939,0
60,60,0,1,1,0,112500,1,4,2,1,21397,365243,0,0,0,,1,1,1,58,1001,-943,0.290968343,0.308014117,112500,011011250014212139736524300011581001-943,0
61,61,0,1,0,1,270000,0,1,1,1,11373,1371,0,0,0,Managers,3,15,2,31,4,27,21.18644068,196.9365427,90000,01012700000111113731371000Managers3231427,0
62,62,0,1,1,0,225000,4,1,1,1,17402,3153,0,1,0,Core staff,2,40,1,47,9,38,10.94624179,71.36060894,112500,01102250004111174023153010Core staff2147938,0
63,63,0,1,1,0,315000,4,1,1,1,15586,3337,0,0,0,Managers,2,21,2,42,10,32,16.64640913,94.39616422,157500,01103150004111155863337000Managers22421032,0
64,64,0,1,0,0,67500,0,4,3,2,9047,716,0,0,0,Security staff,1,32,2,24,2,22,6.913858445,94.27374302,67500,01006750004329047716000Security staff1224222,0
65,65,0,0,1,0,40500,4,4,1,1,12729,4936,1,0,0,Cleaning staff,2,10,2,34,14,20,2.29266912,8.205024311,20250,0010405004411127294936100Cleaning staff22341420,0
66,66,0,0,1,1,144000,4,4,1,1,13761,2783,0,0,0,Laborers,3,4,1,37,8,29,8.704061896,51.74272368,48000,00111440004411137612783000Laborers3137829,0
67,67,0,0,1,2,157500,0,1,1,1,12135,1216,0,0,0,High skill tech staff,4,2,1,33,4,29,11.79686915,129.5230263,39375,00121575000111121351216000High skill tech staff4133429,0
68,68,0,0,0,0,180000,4,4,1,1,10309,1610,0,0,0,Laborers,2,14,1,28,5,23,15.10193808,111.8012422,90000,00001800004411103091610000Laborers2128523,0
69,69,0,0,1,0,157500,4,1,1,1,15462,2969,0,0,1,Medicine staff,2,59,2,42,9,33,8.545385492,53.04816437,78750,00101575004111154622969001Medicine staff2242933,0
70,70,0,0,1,0,81000,0,1,3,1,9874,1928,0,1,0,Laborers,1,39,2,27,6,21,6.863243518,42.01244813,81000,001081000013198741928010Laborers1227621,0
71,71,0,1,0,2,202500,4,4,1,1,15904,3787,0,0,0,Laborers,4,54,2,43,11,32,10.28388604,53.4724056,50625,01022025004411159043787000Laborers42431132,0
72,72,0,0,0,0,351000,0,1,1,1,21574,1081,0,1,0,,2,4,2,59,3,56,15.49326859,324.6993525,175500,000035100001112157410810102259356,0
73,73,0,0,1,0,180000,1,4,1,1,23269,365243,0,1,0,,2,34,2,63,1001,-938,0.463306153,0.492822587,90000,001018000014112326936524301022631001-938,0
74,74,0,0,1,1,67500,4,4,1,1,10350,219,1,1,0,Sales staff,3,25,2,28,1,27,6.386602328,308.2191781,22500,001167500441110350219110Sales staff3228127,0
75,75,0,1,1,0,315000,0,4,1,1,15653,5500,0,0,1,Core staff,2,34,2,42,16,26,14.89150475,57.27272727,157500,01103150000411156535500001Core staff22421626,0
76,76,0,1,0,0,315000,0,1,1,1,13557,586,1,1,0,,2,15,2,37,2,35,22.2725023,537.5426621,157500,01003150000111135575861102237235,0
77,77,0,0,0,0,135000,4,1,3,1,9818,520,0,0,0,Core staff,1,7,1,26,2,24,13.05861869,259.6153846,135000,000013500041319818520000Core staff1126224,0
78,78,0,1,1,0,112500,4,4,1,1,12690,231,1,0,0,Sales staff,2,23,1,34,1,33,8.706756443,487.012987,56250,0110112500441112690231100Sales staff2134133,0
79,79,0,1,1,1,225000,4,1,2,1,14816,1672,0,0,0,Core staff,2,2,0,40,5,35,13.64628821,134.569378,112500,01112250004121148161672000Core staff2040535,0
80,80,0,0,1,0,247500,0,4,0,1,17862,212,0,0,0,Laborers,2,2,1,48,1,47,13.69370366,1167.45283,123750,0010247500040117862212000Laborers2148147,0
81,81,0,1,1,0,135000,4,4,1,1,10314,962,0,0,1,Sales staff,2,0,0,28,3,25,11.97233061,140.3326403,67500,0110135000441110314962001Sales staff2028325,0
82,82,0,1,1,0,216000,4,1,0,1,15274,1423,0,0,1,Accountants,2,53,2,41,4,37,12.93645565,151.7919888,108000,01102160004101152741423001Accountants2241437,0
83,83,0,0,0,2,180000,4,1,1,1,11905,1700,0,0,0,High skill tech staff,4,38,1,32,5,27,13.23042999,105.8823529,45000,00021800004111119051700000High skill tech staff4132527,0
84,84,0,1,1,0,135000,1,4,1,1,23563,365243,0,1,0,,2,27,2,64,1001,-937,0.347216864,0.36961694,67500,011013500014112356336524301022641001-937,0
85,85,0,1,0,0,184500,4,4,1,2,18013,1215,0,0,0,Laborers,2,41,1,49,4,45,9.595381735,151.8518519,92250,01001845004412180131215000Laborers2149445,0
86,86,0,1,1,1,112500,4,4,1,1,12571,451,1,0,1,Drivers,3,45,2,34,2,32,8.639225925,249.4456763,37500,0111112500441112571451101Drivers3234232,0
87,87,1,0,1,0,270000,0,4,4,1,13270,235,1,1,1,Core staff,1,56,2,36,1,35,19.99259534,1148.93617,270000,1010270000044113270235111Core staff1236135,0
88,88,0,1,1,0,360000,0,4,1,1,20412,5427,0,0,0,Managers,2,45,2,55,15,40,13.93242773,66.33499171,180000,01103600000411204125427000Managers22551540,0
89,89,0,0,0,0,450000,0,2,1,1,14465,4145,1,1,0,Managers,2,59,2,39,12,27,24.18054809,108.5645356,225000,00004500000211144654145110Managers22391227,0
90,90,0,0,1,0,45000,2,4,1,1,20200,9404,1,0,0,Cleaning staff,2,30,2,55,26,29,1.520064856,4.785197788,22500,0010450002411202009404100Cleaning staff22552629,0
91,91,0,1,1,0,202500,4,4,1,1,18744,2988,0,0,0,Private service staff,2,20,2,51,9,42,9.318056322,67.77108434,101250,01102025004411187442988000Private service staff2251942,0
92,92,0,1,1,1,135000,0,4,1,1,12190,691,0,0,0,Laborers,3,5,2,33,2,31,10.48055275,195.3690304,45000,0111135000041112190691000Laborers3233231,0
93,93,0,0,1,0,202500,0,4,3,1,19053,3629,0,0,0,High skill tech staff,1,22,1,52,10,42,8.927784146,55.800496,202500,00102025000431190533629000High skill tech staff11521042,0
94,94,0,0,1,0,180000,1,4,1,1,23770,365243,0,0,0,,2,26,2,65,1001,-936,0.462709472,0.492822587,90000,001018000014112377036524300022651001-936,0
95,95,0,0,1,0,79650,1,4,1,1,16081,365243,0,1,0,,2,14,2,44,1001,-957,0.20887749,0.218073995,39825,00107965014111608136524301022441001-957,0
96,96,0,0,1,0,450000,0,4,1,1,23674,2087,0,0,0,Security staff,2,56,2,64,6,58,17.46826598,215.6205079,225000,00104500000411236742087000Security staff2264658,0
97,97,0,1,1,0,157500,4,4,0,1,9373,1212,0,0,0,Drivers,2,46,2,25,4,21,14.87954653,129.950495,78750,0110157500440193731212000Drivers2225421,0
98,98,0,1,1,0,450000,0,1,3,1,10837,588,0,0,1,Sales staff,1,5,2,29,2,27,39.38730853,765.3061224,450000,0110450000013110837588001Sales staff1229227,0
99,99,0,0,0,0,270000,2,4,2,1,19363,12332,0,1,1,Medicine staff,1,35,2,53,34,19,8.5186938,21.89425884,270000,000027000024211936312332011Medicine staff12533419,0
100,100,0,0,1,0,135000,4,1,1,1,22112,8491,0,0,0,Private service staff,2,9,2,60,24,36,4.411332222,15.89918737,67500,00101350004111221128491000Private service staff22602436,0
101,101,0,0,1,0,81000,4,4,1,1,19661,3046,1,1,0,Managers,2,2,1,53,9,44,3.567181926,26.59225213,40500,0010810004411196613046110Managers2153944,0
102,102,0,0,0,1,135000,0,4,1,1,12269,604,0,0,0,Managers,3,12,2,33,2,31,10.48706595,223.5099338,45000,0001135000041112269604000Managers3233231,0
103,103,0,1,0,0,315000,4,1,1,1,15825,3720,1,1,0,Managers,2,12,2,43,11,32,16.11665388,84.67741935,157500,01003150004111158253720110Managers22431132,0
104,104,0,1,1,0,225000,0,1,3,1,15994,2537,0,1,0,Sales staff,1,7,0,43,7,36,12.14181642,88.68742609,225000,01102250000131159942537010Sales staff1043736,0
105,105,0,1,1,0,135000,0,4,1,1,9984,2606,0,0,0,Laborers,2,5,2,27,8,19,10.72279587,51.80353031,67500,0110135000041199842606000Laborers2227819,0
106,106,0,0,0,1,90000,4,4,1,1,16118,1959,0,1,0,,3,47,2,44,6,38,4.978702218,45.94180704,30000,00019000044111611819590103244638,0
107,107,0,1,0,1,306000,4,1,1,1,9310,1678,0,0,0,,3,4,1,25,5,20,27.84856207,182.3599523,102000,01013060004111931016780003125520,0
108,108,0,0,1,0,153000,4,1,3,1,10762,683,0,1,0,Core staff,1,22,2,29,2,27,13.36828309,224.011713,153000,0010153000413110762683010Core staff1229227,0
109,109,0,0,1,0,126000,4,4,1,1,22811,2234,1,1,0,High skill tech staff,2,13,2,62,7,55,5.0309443,56.40107431,63000,00101260004411228112234110High skill tech staff2262755,0
110,110,0,1,1,0,315000,0,1,1,1,12846,164,0,0,0,Managers,2,57,2,35,1,34,24.2121445,1920.731707,157500,0110315000011112846164000Managers2235134,0
111,111,0,1,1,1,225000,4,4,1,1,16175,2371,0,0,0,Drivers,3,44,2,44,7,37,12.13199612,94.89666807,75000,01112250004411161752371000Drivers3244737,0
112,112,0,0,0,0,193500,4,4,3,1,17826,201,0,1,0,Laborers,1,4,2,48,1,47,10.73389915,962.6865672,193500,0000193500443117826201010Laborers1248147,0
113,113,0,0,1,2,90000,0,4,1,1,17384,1138,0,0,0,Cooking staff,4,36,1,47,4,43,4.859086492,79.08611599,22500,0012900000411173841138000Cooking staff4147443,0
114,114,0,1,1,2,135000,4,1,1,1,11564,2944,0,0,1,Managers,4,43,2,31,9,22,9.305210918,45.85597826,33750,01121350004111115642944001Managers4231922,0
115,115,0,0,0,0,81000,1,4,1,1,20920,365243,0,0,0,,2,49,2,57,1001,-944,0.209755984,0.221770164,40500,00008100014112092036524300022571001-944,0
116,116,0,1,1,1,382500,4,4,1,1,14317,2751,0,0,0,Managers,3,11,2,39,8,31,22.41035857,139.040349,127500,01113825004411143172751000Managers3239831,0
117,117,0,0,1,0,202500,0,4,1,1,16173,674,0,0,0,Sales staff,2,27,2,44,2,42,12.0199442,300.4451039,101250,0010202500041116173674000Sales staff2244242,0
118,118,0,0,1,0,112500,4,1,1,1,18259,5756,0,1,0,Sales staff,2,47,2,50,16,34,4.684572142,19.54482279,56250,00101125004111182595756010Sales staff22501634,0
119,119,0,0,1,2,144000,4,4,1,1,12393,1854,1,1,0,Cooking staff,4,0,1,33,6,27,10.10739103,77.66990291,36000,00121440004411123931854110Cooking staff4133627,0
120,120,1,0,1,0,157500,1,4,4,1,21497,365243,0,0,0,,1,4,1,58,1001,-943,0.407250349,0.431219763,157500,101015750014412149736524300011581001-943,0
121,121,0,0,0,0,144000,4,4,1,2,16641,9988,1,1,0,Sales staff,2,35,2,45,28,17,5.407638289,14.41730076,72000,00001440004412166419988110Sales staff22452817,0
122,122,0,1,1,2,283500,2,1,1,1,12902,4120,0,0,0,Core staff,4,39,2,35,12,23,16.65491717,68.81067961,70875,01122835002111129024120000Core staff42351223,0
123,123,0,0,1,0,202500,4,4,1,1,19431,6226,0,0,0,High skill tech staff,2,48,2,53,18,35,7.892582921,32.5248956,101250,00102025004411194316226000High skill tech staff22531835,0
124,124,0,1,1,2,90000,0,4,1,1,15525,3357,0,0,0,Accountants,4,55,2,42,10,32,4.766444233,26.80965147,22500,0112900000411155253357000Accountants42421032,0
125,125,0,0,1,0,360000,0,4,1,1,12483,4039,0,0,0,Managers,2,42,2,34,12,22,21.78912965,89.13097301,180000,00103600000411124834039000Managers22341222,0
126,126,0,1,0,1,175500,0,4,3,2,11709,4983,0,0,0,Laborers,2,45,2,32,14,18,10.51401869,35.21974714,87750,01011755000432117094983000Laborers22321418,0
127,127,0,1,1,1,360000,0,1,1,1,16537,410,0,1,1,Laborers,3,30,2,45,2,43,21.24269782,878.0487805,120000,0111360000011116537410011Laborers3245243,0
128,128,0,0,1,1,112500,4,4,1,1,13741,5221,0,0,0,Laborers,3,38,1,37,15,22,5.932918469,21.54759625,37500,00111125004411137415221000Laborers31371522,0
129,129,0,0,0,1,315000,4,4,1,1,17537,1749,0,0,0,Laborers,3,11,2,48,5,43,16.33309136,180.102916,105000,00013150004411175371749000Laborers3248543,0
130,130,0,0,1,0,297000,0,4,3,4,15519,3234,0,0,0,Laborers,1,1,0,42,9,33,15.83746601,91.83673469,297000,00102970000434155193234000Laborers1042933,0
131,131,0,1,0,0,202500,0,4,0,5,14228,5330,0,1,0,,2,33,0,38,15,23,10.35381941,37.99249531,101250,0100202500040514228533001020381523,0
132,132,0,0,0,0,225000,0,1,1,1,10559,429,1,1,0,Drivers,2,35,2,28,2,26,20.47688387,524.4755245,112500,0000225000011110559429110Drivers2228226,0
133,133,0,1,0,1,387000,4,1,1,1,13168,2574,0,0,0,Managers,3,22,2,36,8,28,24.58391564,150.3496503,129000,01013870004111131682574000Managers3236828,0
134,134,1,1,1,0,135000,1,4,4,1,22991,365243,0,0,0,,1,6,2,62,1001,-939,0.347728432,0.36961694,135000,111013500014412299136524300012621001-939,0
135,135,0,1,0,1,337500,0,1,2,1,15333,196,0,1,0,Managers,2,23,0,42,1,41,21.73353081,1721.938776,168750,0101337500012115333196010Managers2042141,0
136,136,0,0,0,1,225000,0,4,0,1,12640,399,0,0,0,Accountants,3,29,2,34,2,32,17.25592453,563.9097744,75000,0001225000040112640399000Accountants3234232,0
137,137,0,1,1,1,225000,0,4,1,1,13591,3246,0,0,0,Sales staff,3,46,2,37,9,28,13.36342579,69.31608133,75000,01112250000411135913246000Sales staff3237928,0
138,138,0,0,1,0,54000,1,4,1,1,24367,365243,0,0,0,,2,2,0,66,1001,-935,0.138600139,0.147846776,27000,00105400014112436736524300020661001-935,0
139,139,0,1,0,0,157500,0,4,1,1,13590,982,0,1,0,,2,39,2,37,3,34,10.80839967,160.3869654,78750,01001575000411135909820102237334,0
140,140,0,1,1,1,180000,4,1,1,5,11917,1680,1,0,0,Laborers,3,15,0,32,5,27,13.23821431,107.1428571,60000,01111800004115119171680100Laborers3032527,0
141,141,0,1,1,1,112500,0,1,0,1,10551,3000,0,0,1,Core staff,3,12,2,28,9,19,8.301970334,37.5,37500,01111125000101105513000001Core staff3228919,0
142,142,0,1,1,0,360000,4,1,1,1,22456,1934,0,1,0,Managers,2,11,2,61,6,55,14.7601476,186.1427094,180000,01103600004111224561934010Managers2261655,0
143,143,0,1,1,0,256500,0,4,1,1,13821,1071,0,0,1,Core staff,2,45,2,37,3,34,17.22401289,239.4957983,128250,01102565000411138211071001Core staff2237334,0
144,144,0,1,0,0,180000,4,4,1,1,10351,1322,0,0,0,,2,8,2,28,4,24,15.42020046,136.1573374,90000,010018000044111035113220002228424,0
145,145,0,1,0,0,202500,2,4,1,1,19598,11940,0,1,0,Medicine staff,2,7,2,53,33,20,6.420825671,16.95979899,101250,010020250024111959811940010Medicine staff22533320,0
146,146,0,0,0,0,247500,4,1,1,1,14136,7400,1,1,0,Managers,2,6,1,38,21,17,11.49238484,33.44594595,123750,00002475004111141367400110Managers21382117,0
147,147,0,0,1,0,157500,4,1,1,1,12681,709,0,0,0,Sales staff,2,11,1,34,2,32,11.76250934,222.1438646,78750,0010157500411112681709000Sales staff2134232,0
148,148,0,1,1,0,225000,4,4,1,1,14496,808,0,1,0,,2,26,2,39,3,36,14.70203868,278.4653465,112500,01102250004411144968080102239336,0
149,149,0,0,1,2,112500,4,4,1,1,12974,2379,0,0,0,Laborers,4,49,1,35,7,28,7.327558132,47.2887768,28125,00121125004411129742379000Laborers4135728,0
150,150,0,1,0,1,157500,4,1,1,1,11900,2828,0,0,0,Laborers,3,41,2,32,8,24,10.69391635,55.69306931,52500,01011575004111119002828000Laborers3232824,0
151,151,0,1,1,0,360000,0,4,1,1,15344,314,0,0,0,Drivers,2,33,2,42,1,41,22.99144207,1146.496815,180000,0110360000041115344314000Drivers2242141,0
152,152,0,1,1,0,360000,4,4,2,1,10597,574,1,0,0,Medicine staff,1,35,2,29,2,27,32.22630024,627.1777003,360000,0110360000442110597574100Medicine staff1229227,0
153,153,0,1,1,0,180000,0,4,1,1,17975,3476,0,0,0,Drivers,2,32,1,49,10,39,8.391217193,51.78365938,90000,01101800000411179753476000Drivers21491039,0
154,154,0,0,0,0,175500,4,4,1,1,18868,10993,1,0,0,,2,46,2,51,31,20,5.877231171,15.96470481,87750,00001755004411188681099310022513120,0
155,155,0,0,1,0,90000,1,4,1,1,20362,365243,0,0,0,,2,35,2,55,1001,-946,0.233399463,0.246411293,45000,00109000014112036236524300022551001-946,0
156,156,0,0,1,1,135000,4,4,2,1,16728,880,0,0,0,Laborers,2,38,2,45,3,42,7.666969559,153.4090909,67500,0011135000442116728880000Laborers2245342,0
157,157,0,0,1,2,157500,4,4,1,1,10087,1447,0,0,0,,4,44,2,27,4,23,13.65528004,108.845888,39375,001215750044111008714470004227423,0
158,158,0,0,1,1,202500,2,1,1,1,10756,2355,0,0,0,Core staff,3,39,2,29,7,22,15.44504614,85.98726115,67500,00112025002111107562355000Core staff3229722,0
159,159,0,0,1,0,153000,1,1,1,1,21899,365243,0,1,0,,2,51,1,59,1001,-942,0.395203827,0.418899199,76500,001015300011112189936524301021591001-942,0
160,160,0,1,1,1,72000,4,4,1,1,17136,1266,0,0,0,Sales staff,3,11,2,46,4,42,3.912618194,56.87203791,24000,0111720004411171361266000Sales staff3246442,0
161,161,0,1,1,2,360000,4,4,1,1,13465,839,0,1,0,Managers,4,33,0,36,3,33,25.16778523,429.0822408,90000,0112360000441113465839010Managers4036333,0
