,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,num_card,Age,career_year,career_start_age,ability,ability2,income_unit
16086,16086,1,0,0,0,103500.0,4,4,2,1,15715,3657.0,1,0,0,1.0,36.0,1.0,1,43,11.0,32.0,5.342762750361346,28.30188679245283,103500.0
3985,3985,1,0,0,0,103500.0,4,4,2,1,15715,3657.0,1,0,0,1.0,26.0,2.0,1,43,11.0,32.0,5.342762750361346,28.30188679245283,103500.0
17135,17135,1,0,1,0,103500.0,4,4,1,1,15785,1308.0,0,0,0,2.0,42.0,2.0,6,43,4.0,39.0,6.055110279061604,79.12844036697248,51750.0
20137,20137,1,0,0,0,103500.0,4,1,1,1,15989,6640.0,1,1,0,2.0,3.0,0.0,1,43,19.0,24.0,4.573777011799019,15.587349397590362,51750.0
21166,21166,1,0,0,0,103500.0,4,1,1,1,15989,6640.0,1,1,0,2.0,5.0,1.0,1,43,19.0,24.0,4.573777011799019,15.587349397590362,51750.0
11033,11033,1,0,0,0,103500.0,4,1,1,1,15989,6640.0,1,1,0,2.0,15.0,2.0,1,43,19.0,24.0,4.573777011799019,15.587349397590362,51750.0
13825,13825,1,0,1,0,103500.0,0,4,1,1,17007,1569.0,1,1,0,2.0,1.0,1.0,1,46,5.0,41.0,5.571705426356589,65.96558317399618,51750.0
23879,23879,1,0,1,0,103500.0,0,4,1,1,17007,1569.0,1,1,0,2.0,13.0,2.0,3,46,5.0,41.0,5.571705426356589,65.96558317399618,51750.0
19197,19197,1,1,1,0,103500.0,2,1,2,1,17138,8072.0,1,1,0,1.0,33.0,2.0,3,46,23.0,23.0,4.105513685045617,12.822101090188305,103500.0
16996,16996,1,0,1,0,103500.0,4,4,3,1,17461,2134.0,0,0,0,1.0,40.0,1.0,2,47,6.0,41.0,5.281959683592754,48.50046860356139,103500.0
25643,25643,1,0,1,0,103500.0,4,4,3,1,17461,2134.0,0,0,0,1.0,43.0,2.0,4,47,6.0,41.0,5.281959683592754,48.50046860356139,103500.0
4172,4172,1,0,0,0,103500.0,4,4,1,1,17767,11062.0,1,0,0,2.0,50.0,2.0,2,48,31.0,17.0,3.590134933573832,9.35635508949557,51750.0
7934,7934,1,0,1,0,103500.0,2,4,4,1,17873,8460.0,0,1,0,1.0,9.0,2.0,2,48,24.0,24.0,3.9304294991075834,12.23404255319149,103500.0
15691,15691,1,0,1,0,103500.0,0,4,1,1,18240,1751.0,0,0,0,2.0,26.0,2.0,1,49,5.0,44.0,5.177329798409284,59.10908052541405,51750.0
5152,5152,1,0,1,0,103500.0,0,4,1,1,18292,638.0,1,1,0,2.0,49.0,0.0,3,50,2.0,48.0,5.467511885895404,162.2257053291536,51750.0
13620,13620,1,0,1,0,103500.0,0,4,1,1,18292,638.0,1,1,0,2.0,1.0,1.0,1,50,2.0,48.0,5.467511885895404,162.2257053291536,51750.0
8108,8108,1,0,1,0,103500.0,0,4,1,1,18292,638.0,1,1,0,2.0,46.0,2.0,5,50,2.0,48.0,5.467511885895404,162.2257053291536,51750.0
17891,17891,1,0,1,0,103500.0,4,4,0,1,18307,1493.0,0,0,0,2.0,8.0,0.0,1,50,5.0,45.0,5.2272727272727275,69.32350971198929,51750.0
12199,12199,0,1,1,0,103500.0,4,4,1,1,18543,1353.0,0,0,0,2.0,54.0,1.0,1,50,4.0,46.0,5.202050663449939,76.49667405764967,51750.0
7417,7417,0,1,1,0,103500.0,4,4,1,1,18543,1353.0,0,0,0,2.0,42.0,2.0,7,50,4.0,46.0,5.202050663449939,76.49667405764967,51750.0
17503,17503,1,0,1,0,103500.0,0,1,1,1,18826,837.0,0,0,0,2.0,13.0,0.0,2,51,3.0,48.0,5.263693230941362,123.65591397849462,51750.0
13197,13197,1,0,1,0,103500.0,0,1,1,1,18826,837.0,0,0,0,2.0,14.0,1.0,1,51,3.0,48.0,5.263693230941362,123.65591397849462,51750.0
504,504,1,0,1,0,103500.0,0,1,1,1,18826,837.0,0,0,0,2.0,5.0,2.0,1,51,3.0,48.0,5.263693230941362,123.65591397849462,51750.0
24269,24269,0,0,1,0,103500.0,4,4,2,1,19632,2208.0,1,0,0,1.0,41.0,2.0,2,53,7.0,46.0,4.739010989010989,46.875,103500.0
3213,3213,1,1,0,0,103500.0,4,4,1,1,19785,484.0,1,1,0,2.0,8.0,1.0,1,54,2.0,52.0,5.106319996053086,213.84297520661158,51750.0
1517,1517,0,0,1,0,103500.0,4,4,3,1,19831,780.0,0,0,0,1.0,15.0,2.0,2,54,3.0,51.0,5.021590412886323,132.69230769230768,103500.0
22083,22083,1,0,0,0,103500.0,1,4,1,1,20123,10585.0,0,0,0,2.0,54.0,2.0,6,55,29.0,26.0,0.2685758473762605,0.2833729872988668,51750.0
4401,4401,1,0,1,0,103500.0,4,4,1,1,20292,1691.0,0,0,0,2.0,1.0,0.0,6,55,5.0,50.0,4.708183596415412,61.20638675340035,51750.0
3526,3526,1,1,0,0,103500.0,4,4,1,1,20292,980.0,0,0,0,2.0,35.0,2.0,1,55,3.0,52.0,4.8655509590071455,105.61224489795919,51750.0
20605,20605,1,1,1,0,103500.0,1,4,1,1,20429,10585.0,0,0,0,2.0,36.0,2.0,2,55,29.0,26.0,0.26836275384264346,0.2833729872988668,51750.0
8544,8544,1,0,1,0,103500.0,1,4,1,1,20853,10585.0,0,0,0,2.0,16.0,2.0,2,57,29.0,28.0,0.26806804525299405,0.2833729872988668,51750.0
17670,17670,1,0,1,0,103500.0,4,4,0,1,21559,4254.0,0,0,0,2.0,8.0,0.0,2,59,12.0,47.0,4.009607562081122,24.330042313117065,51750.0
19467,19467,0,1,1,0,103500.0,1,4,1,1,21619,10585.0,0,1,0,2.0,8.0,2.0,1,59,29.0,30.0,0.2675372613490082,0.2833729872988668,51750.0
22283,22283,1,1,1,0,103500.0,1,4,1,1,21671,10585.0,0,1,0,2.0,35.0,1.0,4,59,29.0,30.0,0.2675013051996051,0.2833729872988668,51750.0
9836,9836,1,1,1,0,103500.0,1,4,1,1,21671,10585.0,0,1,0,2.0,10.0,2.0,2,59,29.0,30.0,0.2675013051996051,0.2833729872988668,51750.0
8153,8153,1,0,0,0,103500.0,1,1,1,1,21701,10585.0,0,1,0,2.0,28.0,0.0,2,59,29.0,30.0,0.2674805656632484,0.2833729872988668,51750.0
21594,21594,1,0,0,0,103500.0,1,1,1,1,21701,10585.0,0,1,0,2.0,30.0,2.0,1,59,29.0,30.0,0.2674805656632484,0.2833729872988668,51750.0
14193,14193,1,0,1,0,103500.0,1,4,4,1,21720,10585.0,0,0,1,1.0,2.0,1.0,1,59,29.0,30.0,0.2674674322868078,0.2833729872988668,103500.0
14435,14435,1,0,1,0,103500.0,1,4,4,1,21720,10585.0,0,0,1,1.0,7.0,2.0,5,59,29.0,30.0,0.2674674322868078,0.2833729872988668,103500.0
15663,15663,1,0,0,0,103500.0,1,4,1,1,22111,10585.0,0,0,0,2.0,5.0,2.0,2,60,29.0,31.0,0.26719744729627165,0.2833729872988668,51750.0
1807,1807,1,0,1,0,103500.0,1,2,1,1,22254,10585.0,0,1,0,2.0,18.0,2.0,4,60,29.0,31.0,0.2670988420555514,0.2833729872988668,51750.0
14478,14478,1,0,1,0,103500.0,4,4,1,1,22466,12870.0,1,1,0,2.0,1.0,1.0,5,61,36.0,25.0,2.9290242245868234,8.041958041958042,51750.0
17944,17944,1,0,1,0,103500.0,4,4,1,1,22466,12870.0,1,1,0,2.0,40.0,2.0,3,61,36.0,25.0,2.9290242245868234,8.041958041958042,51750.0
3091,3091,1,0,0,0,103500.0,1,4,1,1,22734,10585.0,0,0,0,2.0,52.0,2.0,1,62,29.0,33.0,0.26676839090977045,0.2833729872988668,51750.0
11703,11703,0,1,1,0,103500.0,1,4,1,1,22791,10585.0,0,1,0,2.0,13.0,1.0,1,62,29.0,33.0,0.2667292041419051,0.2833729872988668,51750.0
14251,14251,0,1,1,0,103500.0,1,4,1,1,22791,10585.0,0,1,0,2.0,22.0,2.0,1,62,29.0,33.0,0.2667292041419051,0.2833729872988668,51750.0
7445,7445,1,0,1,0,103500.0,1,4,4,1,22882,10585.0,0,0,0,1.0,37.0,0.0,1,62,29.0,33.0,0.26666666666666666,0.2833729872988668,103500.0
715,715,1,0,1,0,103500.0,1,4,4,1,22882,10585.0,0,0,0,1.0,24.0,1.0,1,62,29.0,33.0,0.26666666666666666,0.2833729872988668,103500.0
9903,9903,1,1,1,0,103500.0,1,1,0,1,23002,10585.0,0,1,0,2.0,6.0,1.0,1,63,29.0,34.0,0.26658424448479695,0.2833729872988668,51750.0
10152,10152,1,1,1,0,103500.0,1,1,0,1,23002,10585.0,0,1,0,2.0,29.0,2.0,1,63,29.0,34.0,0.26658424448479695,0.2833729872988668,51750.0
10634,10634,1,0,1,0,103500.0,1,3,1,1,23015,10585.0,0,0,0,2.0,6.0,2.0,1,63,29.0,34.0,0.26657531847379834,0.2833729872988668,51750.0
5033,5033,0,0,1,0,103500.0,1,4,1,1,23244,10585.0,0,0,0,2.0,32.0,0.0,1,63,29.0,34.0,0.2664181813033641,0.2833729872988668,51750.0
19866,19866,1,0,1,0,103500.0,1,1,1,1,23409,10585.0,0,0,0,2.0,10.0,2.0,1,64,29.0,35.0,0.2663050749771003,0.2833729872988668,51750.0
22719,22719,1,0,0,0,103500.0,1,4,3,1,23439,10585.0,0,1,0,1.0,6.0,2.0,2,64,29.0,35.0,0.2662845205077673,0.2833729872988668,103500.0
20896,20896,1,0,1,0,103500.0,1,4,4,1,23751,10585.0,0,0,0,1.0,15.0,0.0,1,65,29.0,36.0,0.2660709419682566,0.2833729872988668,103500.0
23598,23598,1,0,1,0,103500.0,1,4,4,1,23751,10585.0,0,0,0,1.0,1.0,1.0,3,65,29.0,36.0,0.2660709419682566,0.2833729872988668,103500.0
21159,21159,1,0,1,0,103500.0,1,4,4,1,23751,10585.0,0,0,0,1.0,19.0,2.0,3,65,29.0,36.0,0.2660709419682566,0.2833729872988668,103500.0
15929,15929,1,0,1,0,103500.0,1,4,4,1,24094,10585.0,0,1,0,1.0,58.0,0.0,1,66,29.0,37.0,0.2658365374983626,0.2833729872988668,103500.0
10173,10173,1,0,1,0,103500.0,1,4,4,1,24094,10585.0,0,1,0,1.0,18.0,1.0,1,66,29.0,37.0,0.2658365374983626,0.2833729872988668,103500.0
18778,18778,1,0,1,0,103500.0,1,4,4,1,24094,10585.0,0,1,0,1.0,14.0,2.0,5,66,29.0,37.0,0.2658365374983626,0.2833729872988668,103500.0
17764,17764,1,0,0,0,103500.0,1,4,1,1,24346,10585.0,0,0,0,2.0,57.0,2.0,3,66,29.0,37.0,0.2656645849857157,0.2833729872988668,51750.0
23436,23436,1,0,0,0,103500.0,1,1,3,1,24543,10585.0,0,0,0,1.0,39.0,2.0,2,67,29.0,38.0,0.2655303166352819,0.2833729872988668,103500.0
5913,5913,1,0,1,0,103500.0,1,4,1,1,24831,10585.0,0,0,0,2.0,13.0,1.0,1,68,29.0,39.0,0.2653342699077611,0.2833729872988668,51750.0
2787,2787,1,0,1,0,103500.0,1,4,1,1,24831,10585.0,0,0,0,2.0,42.0,2.0,1,68,29.0,39.0,0.2653342699077611,0.2833729872988668,51750.0
24664,24664,0,0,0,0,103500.0,0,2,3,5,8412,1033.0,0,0,0,1.0,5.0,2.0,1,23,3.0,20.0,10.958178930651139,100.19361084220716,103500.0
2439,2439,0,1,0,0,103500.0,0,4,1,2,8704,352.0,1,0,0,2.0,30.0,2.0,1,23,1.0,22.0,11.428886925795053,294.03409090909093,51750.0
4252,4252,1,0,1,0,103500.0,0,1,0,5,9088,2174.0,0,0,0,2.0,4.0,1.0,1,24,6.0,18.0,9.190197123068726,47.60809567617295,51750.0
1917,1917,1,0,1,0,103500.0,0,1,0,5,9088,2174.0,0,0,0,2.0,43.0,2.0,3,24,6.0,18.0,9.190197123068726,47.60809567617295,51750.0
26315,26315,1,0,0,0,103500.0,4,4,3,5,9819,2568.0,1,0,0,1.0,4.0,2.0,1,26,8.0,18.0,8.355534027609592,40.30373831775701,103500.0
25708,25708,1,0,1,0,105750.0,4,4,1,1,16539,250.0,1,0,0,2.0,16.0,1.0,1,45,1.0,44.0,6.298767049854071,423.0,52875.0
19023,19023,1,0,1,0,108000.0,0,4,0,1,12098,2226.0,1,0,0,2.0,52.0,1.0,2,33,7.0,26.0,7.539793353811785,48.517520215633425,54000.0
23566,23566,1,0,1,0,108000.0,0,4,0,1,12098,2226.0,1,0,0,2.0,47.0,2.0,2,33,7.0,26.0,7.539793353811785,48.517520215633425,54000.0
2999,2999,1,1,0,0,108000.0,4,4,1,5,12249,3195.0,1,0,0,2.0,39.0,2.0,7,33,9.0,24.0,6.993006993006993,33.80281690140845,54000.0
24885,24885,1,0,0,0,108000.0,0,4,1,1,15803,9029.0,0,1,0,2.0,4.0,1.0,1,43,25.0,18.0,4.349226804123711,11.96145752575036,54000.0
17625,17625,1,0,0,0,108000.0,0,4,1,1,15803,9029.0,0,1,0,2.0,31.0,2.0,5,43,25.0,18.0,4.349226804123711,11.96145752575036,54000.0
3186,3186,0,0,1,0,108000.0,4,4,1,1,15997,7341.0,1,1,0,2.0,49.0,1.0,1,43,21.0,22.0,4.62764589939155,14.711892112791173,54000.0
23664,23664,0,0,1,0,108000.0,4,4,1,1,15997,7341.0,1,1,0,2.0,36.0,2.0,6,43,21.0,22.0,4.62764589939155,14.711892112791173,54000.0
368,368,1,0,1,0,108000.0,4,4,2,1,16416,1782.0,0,0,0,1.0,55.0,2.0,2,44,5.0,39.0,5.9347181008902075,60.60606060606061,108000.0
5989,5989,1,1,0,0,108000.0,4,4,1,1,16696,4157.0,0,0,0,2.0,5.0,2.0,1,45,12.0,33.0,5.179110919292188,25.98027423622805,54000.0
7932,7932,0,1,1,0,108000.0,4,4,2,5,16835,1132.0,1,0,0,1.0,12.0,2.0,1,46,4.0,42.0,6.011020203706796,95.40636042402826,108000.0
4066,4066,1,1,1,0,108000.0,4,4,2,1,17171,925.0,0,0,1,1.0,11.0,1.0,2,47,3.0,44.0,5.968169761273209,116.75675675675676,108000.0
23016,23016,1,1,1,0,108000.0,4,4,2,1,17171,925.0,0,0,1,1.0,17.0,2.0,1,47,3.0,44.0,5.968169761273209,116.75675675675676,108000.0
18487,18487,0,1,0,0,108000.0,4,4,1,3,17209,1081.0,0,0,0,2.0,54.0,2.0,2,47,3.0,44.0,5.90486604702023,99.90749306197965,54000.0
8227,8227,1,0,1,0,108000.0,0,4,1,1,17621,1891.0,0,0,0,2.0,49.0,2.0,1,48,6.0,42.0,5.535055350553505,57.112638815441564,54000.0
15515,15515,1,0,1,0,108000.0,4,4,4,1,18128,1403.0,0,0,0,1.0,19.0,2.0,1,49,4.0,45.0,5.529670779785981,76.97790449037777,108000.0
14665,14665,1,0,0,0,108000.0,2,4,1,1,18235,10629.0,1,0,0,2.0,6.0,2.0,1,49,30.0,19.0,3.7416851441241685,10.160880609652837,54000.0
469,469,1,0,0,0,108000.0,0,4,1,1,18827,1131.0,0,1,0,2.0,11.0,2.0,1,51,4.0,47.0,5.411363864114641,95.49071618037135,54000.0
11732,11732,1,1,1,0,108000.0,4,4,1,2,19316,6039.0,0,0,0,2.0,60.0,2.0,11,52,17.0,35.0,4.2595148885821335,17.883755588673623,54000.0
11518,11518,1,0,0,0,108000.0,1,4,1,1,19605,10585.0,0,0,0,2.0,11.0,2.0,1,53,29.0,24.0,0.280630274809795,0.2956935519640349,54000.0
15082,15082,1,0,0,0,108000.0,4,4,2,1,20002,187.0,1,1,1,1.0,42.0,2.0,2,54,1.0,53.0,5.349447719054931,577.5401069518716,108000.0
20168,20168,1,1,1,0,108000.0,4,4,1,1,20077,11692.0,1,0,0,2.0,5.0,2.0,1,55,33.0,22.0,3.3995404324970884,9.237085186452274,54000.0
10177,10177,1,0,0,0,108000.0,4,4,3,1,20330,8601.0,1,1,0,1.0,43.0,2.0,1,55,24.0,31.0,3.7330199440047007,12.556679455877223,108000.0
5746,5746,0,1,1,0,108000.0,4,1,1,1,20839,536.0,0,0,0,2.0,9.0,2.0,1,57,2.0,55.0,5.052631578947368,201.49253731343285,54000.0
11190,11190,1,1,1,0,108000.0,1,4,1,1,21361,10585.0,0,0,0,2.0,43.0,2.0,2,58,29.0,29.0,0.27935561970388306,0.2956935519640349,54000.0
24484,24484,1,0,1,0,108000.0,1,4,2,1,21476,10585.0,0,0,0,1.0,9.0,2.0,1,58,29.0,29.0,0.2792725467328991,0.2956935519640349,108000.0
3227,3227,1,0,0,0,108000.0,1,4,4,1,22182,10585.0,0,0,0,1.0,49.0,2.0,6,60,29.0,31.0,0.27876363167064594,0.2956935519640349,108000.0
9790,9790,1,0,1,0,108000.0,1,4,0,1,22849,10585.0,0,0,0,2.0,33.0,1.0,3,62,29.0,33.0,0.27828453047215607,0.2956935519640349,54000.0
9848,9848,0,1,0,0,108000.0,1,4,1,1,22953,10585.0,0,0,0,2.0,36.0,2.0,3,62,29.0,33.0,0.2782099764036724,0.2956935519640349,54000.0
981,981,1,0,1,0,108000.0,1,4,1,1,23044,10585.0,0,1,0,2.0,59.0,0.0,2,63,29.0,34.0,0.2781447743550518,0.2956935519640349,54000.0
1103,1103,1,0,1,0,108000.0,1,4,1,1,23044,10585.0,0,1,0,2.0,24.0,2.0,2,63,29.0,34.0,0.2781447743550518,0.2956935519640349,54000.0
18482,18482,0,0,1,0,108000.0,1,4,1,1,23332,10585.0,0,1,0,2.0,37.0,0.0,1,63,29.0,34.0,0.2779386218876665,0.2956935519640349,54000.0
502,502,0,0,1,0,108000.0,1,4,1,1,24365,10585.0,0,0,0,2.0,1.0,1.0,1,66,29.0,37.0,0.2772017001704277,0.2956935519640349,54000.0
16973,16973,0,0,1,0,108000.0,1,4,1,1,24365,10585.0,0,0,0,2.0,60.0,2.0,1,66,29.0,37.0,0.2772017001704277,0.2956935519640349,54000.0
7871,7871,0,1,1,0,108000.0,1,4,1,1,24577,10585.0,0,0,0,2.0,36.0,1.0,1,67,29.0,38.0,0.2770509465907342,0.2956935519640349,54000.0
7509,7509,1,0,1,0,108000.0,4,4,1,1,8111,1361.0,0,0,0,2.0,9.0,2.0,1,22,4.0,18.0,11.402027027027026,79.35341660543718,54000.0
6748,6748,0,0,0,0,108000.0,4,4,3,0,8182,1317.0,1,0,0,1.0,38.0,2.0,1,22,4.0,18.0,11.369617854511,82.00455580865604,108000.0
8428,8428,1,0,0,0,108000.0,2,4,1,2,8862,1625.0,1,0,0,2.0,32.0,1.0,3,24,5.0,19.0,10.298464765900638,66.46153846153847,54000.0
5888,5888,0,1,1,0,110250.0,4,1,3,1,14129,5758.0,0,0,0,1.0,43.0,2.0,7,38,16.0,22.0,5.543822597676875,19.14727335880514,110250.0
25453,25453,1,0,1,0,110250.0,2,4,1,1,17782,2403.0,0,0,1,2.0,16.0,1.0,1,48,7.0,41.0,5.46197671538271,45.88014981273408,55125.0
14142,14142,1,0,1,0,110250.0,2,4,1,1,17782,2403.0,0,0,1,2.0,27.0,2.0,7,48,7.0,41.0,5.46197671538271,45.88014981273408,55125.0
495,495,0,1,0,0,112500.0,4,4,0,1,10004,1962.0,0,1,0,2.0,20.0,1.0,3,27,6.0,21.0,9.401637974260405,57.3394495412844,56250.0
8270,8270,1,0,1,0,112500.0,4,4,1,5,10022,608.0,1,0,1,2.0,1.0,0.0,1,27,2.0,25.0,10.583254938852305,185.0328947368421,56250.0
23424,23424,1,0,1,0,112500.0,4,4,1,5,10022,608.0,1,0,1,2.0,26.0,1.0,2,27,2.0,25.0,10.583254938852305,185.0328947368421,56250.0
15646,15646,0,1,1,0,112500.0,4,4,1,1,10053,1652.0,0,0,1,2.0,20.0,0.0,3,27,5.0,22.0,9.611277231952156,68.09927360774819,56250.0
19151,19151,1,0,1,0,112500.0,4,1,0,1,10064,3173.0,0,0,1,2.0,43.0,2.0,1,27,9.0,18.0,8.498904585631186,35.455404979514654,56250.0
1786,1786,0,1,0,0,112500.0,4,4,1,1,10066,834.0,0,0,0,2.0,27.0,2.0,4,27,3.0,24.0,10.321100917431192,134.89208633093526,56250.0
22817,22817,1,0,0,0,112500.0,4,4,1,5,10071,1648.0,1,1,0,2.0,40.0,2.0,1,27,5.0,22.0,9.599795204368974,68.26456310679612,56250.0
5153,5153,1,1,1,0,112500.0,4,1,1,1,10101,505.0,1,1,0,2.0,3.0,1.0,1,27,2.0,25.0,10.607203469734113,222.77227722772278,56250.0
19485,19485,1,1,1,0,112500.0,4,1,1,1,10101,505.0,1,1,0,2.0,21.0,2.0,5,27,2.0,25.0,10.607203469734113,222.77227722772278,56250.0
15603,15603,0,1,0,0,112500.0,4,1,3,5,10117,108.0,0,0,0,1.0,39.0,2.0,2,27,1.0,26.0,11.00244498777506,1041.6666666666667,112500.0
9963,9963,1,1,1,0,112500.0,4,4,1,3,10122,907.0,1,0,0,2.0,12.0,1.0,1,27,3.0,24.0,10.200380814217064,124.03528114663726,56250.0
19455,19455,1,0,0,0,112500.0,4,2,1,5,10157,704.0,0,0,0,2.0,19.0,2.0,4,27,2.0,25.0,10.358162231838689,159.80113636363637,56250.0
20673,20673,1,0,0,0,112500.0,0,2,1,1,10177,2339.0,0,1,0,2.0,23.0,0.0,1,27,7.0,20.0,8.98849472674976,48.097477554510476,56250.0
5435,5435,1,0,0,0,112500.0,0,2,1,1,10177,2339.0,0,1,0,2.0,54.0,1.0,3,27,7.0,20.0,8.98849472674976,48.097477554510476,56250.0
703,703,1,0,0,0,112500.0,0,2,1,1,10177,2339.0,0,1,0,2.0,15.0,2.0,10,27,7.0,20.0,8.98849472674976,48.097477554510476,56250.0
25586,25586,1,0,1,0,112500.0,4,4,1,1,10202,273.0,0,0,0,2.0,11.0,2.0,1,27,1.0,26.0,10.739856801909308,412.0879120879121,56250.0
15853,15853,1,1,0,0,112500.0,4,4,1,1,10238,3453.0,0,0,0,2.0,34.0,2.0,5,28,10.0,18.0,8.217076911839895,32.580364900086884,56250.0
16228,16228,1,0,0,0,112500.0,4,4,4,5,10240,818.0,1,1,0,1.0,1.0,1.0,2,28,3.0,25.0,10.173629951166577,137.53056234718827,112500.0
11798,11798,1,0,0,0,112500.0,4,4,4,5,10240,818.0,1,1,0,1.0,52.0,2.0,2,28,3.0,25.0,10.173629951166577,137.53056234718827,112500.0
5884,5884,1,0,1,0,112500.0,0,2,3,1,10244,279.0,0,1,1,1.0,60.0,2.0,3,28,1.0,27.0,10.69086762330134,403.2258064516129,112500.0
9486,9486,1,0,0,0,112500.0,4,4,0,1,10303,1527.0,1,1,0,2.0,1.0,1.0,1,28,5.0,23.0,9.509721048182586,73.67387033398822,56250.0
1258,1258,0,1,1,0,112500.0,4,4,3,1,10324,2438.0,0,0,0,1.0,26.0,1.0,1,28,7.0,21.0,8.815232722143865,46.14438063986874,112500.0
21846,21846,1,0,0,0,112500.0,4,4,1,1,10344,2533.0,0,0,0,2.0,1.0,1.0,1,28,7.0,21.0,8.73650695037664,44.41373864982234,56250.0
17031,17031,0,1,1,0,112500.0,4,4,1,1,10361,269.0,1,0,0,2.0,44.0,2.0,2,28,1.0,27.0,10.583254938852305,418.2156133828996,56250.0
17353,17353,1,1,0,0,112500.0,4,4,3,1,10377,3024.0,0,0,0,1.0,1.0,1.0,2,28,9.0,19.0,8.394895903290799,37.20238095238095,112500.0
6236,6236,1,1,0,0,112500.0,4,4,3,1,10377,3024.0,0,0,0,1.0,13.0,2.0,2,28,9.0,19.0,8.394895903290799,37.20238095238095,112500.0
13299,13299,0,0,0,0,112500.0,4,4,1,1,10396,778.0,0,0,0,2.0,5.0,2.0,1,28,3.0,25.0,10.068015034902452,144.60154241645245,56250.0
14176,14176,1,0,1,0,112500.0,4,1,0,1,10443,560.0,0,0,0,2.0,10.0,0.0,2,28,2.0,26.0,10.224484231573207,200.89285714285714,56250.0
14954,14954,1,0,1,0,112500.0,4,1,0,1,10443,560.0,0,0,0,2.0,54.0,2.0,1,28,2.0,26.0,10.224484231573207,200.89285714285714,56250.0
