,index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,chi-fam,occyp_type_le,house_type_le,family_type_le,income_type_le,edu_type_le,Age,career_year,career_start_age,card_count,credit_change_count
21,10764,1,1,0,0,247500.0,Commercial associate,Higher education,Married,House / apartment,14887,2170,0,0,0,High skill tech staff,2.0,60.0,2.0,-2.0,6,1,1,0,2,40,6.0,34.0,1,1
22,15216,1,0,0,0,265500.0,State servant,Secondary / secondary special,Separated,House / apartment,22662,4206,0,0,0,NaN,1.0,60.0,2.0,-1.0,12,1,2,2,0,62,12.0,50.0,1,1
23,4565,0,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17847,5331,0,0,0,Laborers,2.0,60.0,0.0,-2.0,8,1,1,0,0,48,15.0,33.0,1,1
24,5034,1,0,1,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,21830,0,0,1,0,NaN,1.0,60.0,2.0,-1.0,12,1,3,1,0,59,0.0,59.0,1,1
25,13419,1,0,1,0,112500.0,Commercial associate,Higher education,Single / not married,House / apartment,14321,1751,0,0,1,High skill tech staff,1.0,60.0,1.0,-1.0,6,1,3,0,2,39,5.0,34.0,1,1
26,12836,0,1,0,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,16082,4117,0,0,0,Managers,2.0,60.0,2.0,-2.0,10,1,1,4,0,44,12.0,32.0,1,1
27,13592,1,0,0,0,135000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,13120,5578,0,0,0,Medicine staff,2.0,60.0,1.0,-2.0,11,1,0,2,0,35,16.0,19.0,1,1
28,16003,0,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,19614,385,0,0,0,Laborers,2.0,59.0,0.0,-2.0,8,1,1,4,0,53,2.0,51.0,1,1
29,3140,1,0,1,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,20065,306,0,1,0,Laborers,2.0,59.0,1.0,-2.0,8,1,1,4,0,54,1.0,53.0,1,1
30,4367,0,1,1,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15541,3263,0,0,0,Laborers,3.0,59.0,2.0,-2.0,8,1,1,0,0,42,9.0,33.0,1,1
31,4824,0,0,1,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,19225,5970,0,0,0,Laborers,2.0,59.0,2.0,-2.0,8,1,0,4,0,52,17.0,35.0,1,1
32,22971,0,1,0,2,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,13769,3724,0,0,1,Managers,3.0,59.0,1.0,-1.0,10,1,3,0,2,37,11.0,26.0,1,1
33,23176,1,0,1,0,225000.0,Working,Higher education,Widow,House / apartment,21450,13245,0,0,0,Core staff,1.0,59.0,2.0,-1.0,3,1,4,4,2,58,37.0,21.0,3,1
34,8059,0,0,0,1,225000.0,Commercial associate,Higher education,Married,House / apartment,18086,1922,0,0,0,Managers,3.0,59.0,0.0,-2.0,10,1,1,0,2,49,6.0,43.0,1,1
35,14177,1,0,1,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,14680,644,0,1,0,Sales staff,1.0,59.0,2.0,-1.0,15,1,2,4,0,40,2.0,38.0,1,1
36,2890,1,0,0,1,112500.0,Working,Secondary / secondary special,Widow,House / apartment,15112,2652,0,0,0,Medicine staff,2.0,59.0,1.0,-1.0,11,1,4,4,0,41,8.0,33.0,1,1
37,3299,1,1,0,0,38025.0,Pensioner,Secondary / secondary special,Married,House / apartment,20969,0,0,1,0,NaN,2.0,59.0,2.0,-2.0,12,1,1,1,0,57,0.0,57.0,2,1
38,20434,1,0,1,0,207000.0,Working,Secondary / secondary special,Widow,House / apartment,20151,525,0,0,0,Accountants,1.0,59.0,2.0,-1.0,0,1,4,4,0,55,2.0,53.0,1,1
39,3596,1,0,1,0,202500.0,Working,Higher education,Married,House / apartment,11472,596,0,0,0,NaN,2.0,59.0,2.0,-2.0,12,1,1,4,2,31,2.0,29.0,1,1
40,19534,1,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,16592,4753,0,0,0,Core staff,2.0,59.0,2.0,-2.0,3,1,1,4,0,45,14.0,31.0,1,1
41,14049,1,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,17098,1021,0,0,0,Core staff,2.0,59.0,2.0,-2.0,3,1,1,4,0,46,3.0,43.0,1,1
42,19341,0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,22517,1710,0,1,0,Laborers,2.0,59.0,2.0,-2.0,8,1,1,4,0,61,5.0,56.0,1,1
43,22699,0,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,10471,1638,0,0,0,Drivers,2.0,59.0,1.0,-2.0,4,1,1,4,0,28,5.0,23.0,1,1
44,10762,1,0,1,0,69750.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,23129,0,0,1,0,NaN,2.0,59.0,2.0,-2.0,12,1,0,1,0,63,0.0,63.0,1,1
45,24291,1,0,1,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,14709,1772,0,0,0,NaN,1.0,59.0,2.0,-1.0,12,1,3,0,2,40,5.0,35.0,1,1
46,26455,0,0,1,0,171000.0,Working,Incomplete higher,Single / not married,House / apartment,10145,107,0,0,0,Laborers,1.0,59.0,2.0,-1.0,8,1,3,4,1,27,1.0,26.0,1,1
47,23037,0,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,17154,1649,0,0,0,Drivers,2.0,59.0,1.0,-2.0,4,1,1,4,0,46,5.0,41.0,1,1
48,12559,1,0,0,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,19316,4451,1,1,0,NaN,1.0,59.0,2.0,-1.0,12,1,3,4,0,52,13.0,39.0,1,1
49,11582,1,0,0,0,45000.0,Working,Secondary / secondary special,Single / not married,House / apartment,19906,5547,0,0,0,NaN,1.0,59.0,2.0,-1.0,12,1,3,4,0,54,16.0,38.0,1,1
50,23734,1,0,0,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,13924,2593,1,0,0,Medicine staff,2.0,59.0,2.0,-2.0,11,1,1,4,0,38,8.0,30.0,1,1
51,966,1,0,0,0,76500.0,Pensioner,Higher education,Married,House / apartment,20833,0,0,0,0,NaN,2.0,59.0,2.0,-2.0,12,1,1,1,2,57,0.0,57.0,3,2
52,1426,0,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,15754,219,0,1,0,HR staff,2.0,59.0,2.0,-2.0,5,1,1,4,0,43,1.0,42.0,1,1
53,5325,1,0,1,1,337500.0,Working,Higher education,Married,House / apartment,16867,3592,0,0,0,NaN,3.0,59.0,2.0,-2.0,12,1,1,4,2,46,10.0,36.0,1,1
54,15801,1,0,1,0,179100.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,20891,0,0,0,0,NaN,2.0,59.0,0.0,-2.0,12,1,0,1,0,57,0.0,57.0,1,1
55,15806,1,0,0,2,157500.0,Working,Higher education,Civil marriage,House / apartment,14684,3633,0,0,0,High skill tech staff,4.0,59.0,2.0,-2.0,6,1,0,4,2,40,10.0,30.0,1,1
56,6264,1,0,1,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,20577,0,0,0,0,NaN,1.0,59.0,2.0,-1.0,12,1,3,1,0,56,0.0,56.0,1,1
57,7381,0,0,0,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,10750,1869,1,1,0,NaN,3.0,58.0,2.0,-2.0,12,1,1,4,0,29,6.0,23.0,1,1
58,20003,0,1,1,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14742,523,0,0,1,Managers,4.0,58.0,0.0,-2.0,10,1,1,0,0,40,2.0,38.0,1,1
59,4477,1,0,1,3,292500.0,Working,Incomplete higher,Married,House / apartment,12038,3935,1,0,0,NaN,5.0,58.0,2.0,-2.0,12,1,1,4,1,32,11.0,21.0,1,1
60,24616,0,0,0,0,157500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,15140,233,1,1,0,Laborers,1.0,58.0,2.0,-1.0,8,1,2,0,0,41,1.0,40.0,1,1
61,23921,0,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10699,400,1,1,0,Drivers,2.0,58.0,2.0,-2.0,4,1,0,4,0,29,2.0,27.0,1,1
62,14134,0,0,1,1,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,16606,3506,0,0,0,Managers,2.0,58.0,2.0,-1.0,10,1,2,0,0,45,10.0,35.0,1,1
63,789,1,0,1,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,14132,2805,1,1,0,Private service staff,4.0,58.0,2.0,-2.0,13,1,1,4,0,38,8.0,30.0,1,1
64,7181,1,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,22688,4266,0,0,0,Medicine staff,2.0,58.0,2.0,-2.0,11,1,1,4,0,62,12.0,50.0,1,1
65,14347,0,0,0,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11496,1345,0,0,0,Laborers,3.0,58.0,2.0,-2.0,8,1,1,0,0,31,4.0,27.0,1,1
66,23419,1,0,0,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20737,0,0,0,0,NaN,2.0,58.0,2.0,-2.0,12,1,1,1,0,56,0.0,56.0,1,1
67,22786,1,0,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,22387,1781,0,0,0,Core staff,1.0,58.0,1.0,-1.0,3,1,2,4,0,61,5.0,56.0,1,1
68,20444,1,0,1,0,76500.0,Pensioner,Higher education,Married,House / apartment,23750,0,0,0,0,NaN,2.0,58.0,1.0,-2.0,12,1,1,1,2,65,0.0,65.0,1,1
69,8286,1,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22034,0,0,0,0,NaN,2.0,58.0,2.0,-2.0,12,1,1,1,0,60,0.0,60.0,1,1
70,11135,1,0,1,3,202500.0,Working,Incomplete higher,Married,Co-op apartment,15815,8535,0,1,1,Medicine staff,5.0,58.0,1.0,-2.0,11,0,1,4,1,43,24.0,19.0,1,1
71,19395,1,0,1,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,19490,0,0,1,0,NaN,2.0,58.0,2.0,-2.0,12,1,1,1,0,53,0.0,53.0,1,1
72,26002,1,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16671,99,0,0,0,Cooking staff,2.0,58.0,2.0,-2.0,2,1,1,0,0,45,1.0,44.0,1,1
73,24015,0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,13753,4813,0,1,0,Managers,2.0,58.0,2.0,-2.0,10,1,1,4,0,37,14.0,23.0,1,1
74,5955,0,1,1,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,21080,4369,1,1,0,High skill tech staff,2.0,58.0,2.0,-2.0,6,1,1,0,0,57,12.0,45.0,1,1
75,20744,1,1,1,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,20715,1104,1,1,0,Laborers,2.0,58.0,2.0,-2.0,8,1,0,4,0,56,4.0,52.0,1,1
76,9005,1,0,1,2,180000.0,Working,Higher education,Married,House / apartment,13921,6949,1,1,0,High skill tech staff,4.0,58.0,1.0,-2.0,6,1,1,4,2,38,20.0,18.0,2,1
77,10895,1,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,16071,2239,0,0,0,Cleaning staff,2.0,58.0,2.0,-2.0,1,1,1,4,0,44,7.0,37.0,1,1
78,830,1,0,1,1,166500.0,Working,Higher education,Married,House / apartment,15861,1379,1,1,0,Accountants,3.0,58.0,2.0,-2.0,0,1,1,4,2,43,4.0,39.0,1,1
79,15561,1,0,0,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,14269,1273,0,0,0,Laborers,1.0,58.0,0.0,-1.0,8,1,3,4,0,39,4.0,35.0,1,1
80,19747,1,0,1,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,12122,583,1,1,0,Cleaning staff,2.0,58.0,2.0,-2.0,1,1,1,4,0,33,2.0,31.0,1,1
81,20919,0,0,1,0,247500.0,Working,Lower secondary,Civil marriage,House / apartment,15032,309,0,0,0,Drivers,2.0,58.0,2.0,-2.0,4,1,0,4,0,41,1.0,40.0,1,1
82,25743,0,1,1,1,337500.0,Working,Higher education,Married,House / apartment,11489,3109,0,0,0,Managers,3.0,58.0,2.0,-2.0,10,1,1,4,2,31,9.0,22.0,1,1
83,25724,0,0,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,19359,775,0,0,0,Cooking staff,2.0,58.0,1.0,-2.0,2,1,1,4,0,53,3.0,50.0,1,1
84,16604,1,0,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,14225,5179,0,0,0,Medicine staff,2.0,57.0,2.0,-2.0,11,1,1,4,0,38,15.0,23.0,1,1
85,8933,0,1,0,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17374,3495,1,1,0,Managers,2.0,57.0,2.0,-2.0,10,1,1,0,0,47,10.0,37.0,1,1
86,21435,1,1,1,2,337500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16033,2256,0,0,0,Private service staff,4.0,57.0,2.0,-2.0,13,1,1,0,0,43,7.0,36.0,1,1
87,18928,0,0,1,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,19338,1695,0,0,0,Drivers,2.0,57.0,2.0,-2.0,4,1,1,4,0,52,5.0,47.0,2,1
88,8322,1,0,0,0,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,18246,2417,0,0,0,Core staff,2.0,57.0,2.0,-2.0,3,2,1,4,0,49,7.0,42.0,1,1
89,20212,1,0,1,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20836,0,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,1,0,57,0.0,57.0,1,1
90,17770,1,0,1,3,157500.0,Working,Secondary / secondary special,Married,House / apartment,11446,924,0,0,0,Laborers,5.0,57.0,2.0,-2.0,8,1,1,4,0,31,3.0,28.0,1,1
91,1244,1,1,0,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,20912,8772,0,1,0,Cleaning staff,2.0,57.0,1.0,-2.0,1,2,1,0,0,57,25.0,32.0,1,1
92,3425,1,0,1,1,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,13698,1195,0,0,0,Sales staff,2.0,57.0,2.0,-1.0,15,1,3,4,0,37,4.0,33.0,1,1
93,16742,0,1,1,2,135000.0,Working,Higher education,Married,House / apartment,13784,1773,0,1,1,High skill tech staff,4.0,57.0,0.0,-2.0,6,1,1,4,2,37,5.0,32.0,1,1
94,21953,1,0,1,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,12022,2317,0,0,0,Laborers,4.0,57.0,2.0,-2.0,8,1,1,4,0,32,7.0,25.0,1,1
95,3554,1,0,1,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,19140,887,0,0,0,High skill tech staff,2.0,57.0,2.0,-1.0,6,1,2,4,0,52,3.0,49.0,1,1
96,11515,1,0,0,0,99000.0,Commercial associate,Higher education,Single / not married,With parents,10833,2504,0,0,1,NaN,1.0,57.0,2.0,-1.0,12,5,3,0,2,29,7.0,22.0,2,1
97,2054,0,1,0,2,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11425,4625,1,0,0,Laborers,4.0,57.0,2.0,-2.0,8,1,1,0,0,31,13.0,18.0,1,1
98,9714,1,0,1,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20848,0,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,1,0,57,0.0,57.0,2,1
99,21727,1,0,0,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,16611,8369,0,0,0,NaN,4.0,57.0,2.0,-2.0,12,1,1,4,0,45,23.0,22.0,1,1
100,6617,0,1,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,15216,2969,1,0,0,Low-skill Laborers,3.0,57.0,2.0,-2.0,9,1,1,4,0,41,9.0,32.0,2,1
101,12911,0,0,0,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22970,0,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,1,0,62,0.0,62.0,1,1
102,15780,1,0,1,0,117000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20768,0,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,1,0,56,0.0,56.0,1,1
103,9789,1,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,13016,2324,1,1,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,4,0,35,7.0,28.0,2,1
104,4752,0,1,0,0,202500.0,Working,Higher education,Married,House / apartment,15181,3062,0,0,0,NaN,2.0,57.0,1.0,-2.0,12,1,1,4,2,41,9.0,32.0,1,1
105,4784,1,0,1,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,20609,0,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,0,1,0,56,0.0,56.0,1,1
106,21106,1,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,17833,2167,0,0,0,Sales staff,2.0,57.0,2.0,-2.0,15,1,1,4,0,48,6.0,42.0,1,1
107,13916,1,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,19658,1801,0,0,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,4,0,53,5.0,48.0,1,1
108,25232,1,0,0,0,202500.0,State servant,Secondary / secondary special,Widow,House / apartment,23306,430,0,0,0,Core staff,1.0,57.0,2.0,-1.0,3,1,4,2,0,63,2.0,61.0,1,1
109,4424,1,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,18924,0,0,1,0,NaN,2.0,57.0,2.0,-2.0,12,1,1,1,0,51,0.0,51.0,1,1
110,4427,1,1,1,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,16069,768,0,0,0,Sales staff,2.0,57.0,0.0,-1.0,15,1,2,4,0,44,3.0,41.0,1,1
111,6177,1,0,1,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21456,0,0,0,0,NaN,2.0,57.0,1.0,-2.0,12,1,1,1,0,58,0.0,58.0,1,1
112,7321,1,0,0,1,157500.0,Working,Secondary / secondary special,Civil marriage,With parents,11680,3695,0,0,0,Sales staff,3.0,57.0,2.0,-2.0,15,5,0,4,0,32,11.0,21.0,1,1
113,5549,1,0,1,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,13956,5429,0,0,0,Laborers,2.0,56.0,2.0,-1.0,8,1,2,4,0,38,15.0,23.0,1,1
114,7924,1,0,1,0,166500.0,Working,Higher education,Civil marriage,With parents,11221,393,1,0,0,Core staff,2.0,56.0,0.0,-2.0,3,5,0,4,2,30,2.0,28.0,1,1
115,2134,1,1,0,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,14227,2199,0,0,0,NaN,4.0,56.0,2.0,-2.0,12,1,1,2,0,38,7.0,31.0,1,1
116,15586,1,0,1,0,67500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,21981,0,0,1,0,NaN,2.0,56.0,2.0,-2.0,12,1,0,1,0,60,0.0,60.0,2,1
117,2073,0,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,12296,4314,0,0,0,NaN,4.0,56.0,2.0,-2.0,12,1,1,4,0,33,12.0,21.0,1,1
118,3767,0,1,0,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,14834,3813,0,1,0,Sales staff,2.0,56.0,2.0,-2.0,15,1,1,4,0,40,11.0,29.0,1,1
119,6542,1,0,1,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,16898,5622,0,0,0,NaN,2.0,56.0,2.0,-2.0,12,1,1,4,0,46,16.0,30.0,1,1
120,19715,0,0,0,1,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,14507,4213,1,1,0,Laborers,3.0,56.0,2.0,-2.0,8,2,1,4,0,39,12.0,27.0,1,1
121,11279,1,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,23395,1288,0,1,0,Waiters/barmen staff,2.0,56.0,1.0,-2.0,18,1,1,0,0,64,4.0,60.0,1,1
122,5040,1,1,0,0,360000.0,Working,Higher education,Married,House / apartment,15596,463,0,0,1,Accountants,2.0,56.0,2.0,-2.0,0,1,1,4,2,42,2.0,40.0,1,1
123,19262,0,1,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,15462,248,0,1,0,Drivers,3.0,56.0,2.0,-2.0,4,1,1,4,0,42,1.0,41.0,1,1
124,8285,0,0,1,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16835,5109,0,0,0,Laborers,2.0,56.0,2.0,-2.0,8,1,1,0,0,46,14.0,32.0,1,1
125,8287,1,0,0,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21676,0,0,0,0,NaN,2.0,56.0,2.0,-2.0,12,1,1,1,0,59,0.0,59.0,1,1
126,17983,1,0,1,0,252000.0,Pensioner,Higher education,Married,House / apartment,23053,0,0,0,0,NaN,2.0,56.0,1.0,-2.0,12,1,1,1,2,63,0.0,63.0,1,1
127,20563,1,0,0,0,180000.0,State servant,Incomplete higher,Married,House / apartment,10315,2985,0,0,0,Core staff,2.0,56.0,2.0,-2.0,3,1,1,2,1,28,9.0,19.0,1,1
128,2818,1,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,16609,186,0,0,0,Laborers,3.0,56.0,2.0,-2.0,8,1,1,4,0,45,1.0,44.0,1,1
129,15403,1,0,1,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,13346,3839,1,1,0,Drivers,2.0,56.0,1.0,-2.0,4,1,0,4,0,36,11.0,25.0,1,1
130,11783,0,1,0,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18938,3141,1,0,0,Managers,2.0,56.0,0.0,-2.0,10,1,1,0,0,51,9.0,42.0,1,1
131,20220,0,1,0,2,202500.0,Commercial associate,Higher education,Married,House / apartment,11716,460,0,0,0,Managers,4.0,56.0,2.0,-2.0,10,1,1,0,2,32,2.0,30.0,1,1
132,12492,1,0,1,0,202500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,22617,0,0,1,0,NaN,1.0,56.0,2.0,-1.0,12,1,2,1,0,61,0.0,61.0,1,1
133,18876,1,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21657,0,0,0,0,NaN,2.0,56.0,2.0,-2.0,12,1,1,1,0,59,0.0,59.0,1,1
134,17294,1,0,0,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,10449,429,0,0,0,NaN,2.0,56.0,2.0,-2.0,12,1,1,0,0,28,2.0,26.0,1,1
135,15275,1,0,0,1,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,13987,985,0,0,1,Accountants,2.0,56.0,2.0,-1.0,0,1,3,0,0,38,3.0,35.0,1,1
136,9489,1,0,0,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,14167,735,0,1,0,Laborers,3.0,56.0,2.0,-2.0,8,1,1,4,0,38,3.0,35.0,2,1
137,16539,0,1,1,0,112500.0,Working,Higher education,Married,House / apartment,21170,1281,0,0,0,NaN,2.0,56.0,0.0,-2.0,12,1,1,4,2,58,4.0,54.0,1,1
